ID,geometry,geometry,geometry,RAD,MAT,FC,SHTK,BF,max_stress,thinning,springback,outcome,outcome_label
16039,1,0,0,30,0.9,0.05,0.95,100000.0,30173.06353500488,0.4,0.0,1,Risk of Crack
16040,1,0,0,30,0.9,0.06,0.95,100000.0,30171.275096097266,0.4,0.0,1,Risk of Crack
16041,1,0,0,30,0.9,0.07,0.95,100000.0,30179.2564196217,0.4,0.0,1,Risk of Crack
16042,1,0,0,30,0.9,0.08,0.95,100000.0,30162.79234555276,0.4,0.0,1,Risk of Crack
16043,1,0,0,30,0.9,0.09,0.95,100000.0,30182.646901856868,0.4,0.0,1,Risk of Crack
16044,1,0,0,30,0.9,0.1,0.95,100000.0,30177.62557270433,0.4,0.0,1,Risk of Crack
16045,1,0,0,30,0.9,0.11,0.95,100000.0,30177.646199645533,0.4,0.0,1,Risk of Crack
16046,1,0,0,30,0.9,0.12,0.95,100000.0,30179.13789878952,0.4,0.0,1,Risk of Crack
16047,1,0,0,30,0.9,0.13,0.95,100000.0,30168.15422923148,0.4,0.0,1,Risk of Crack
16048,1,0,0,30,0.9,0.14,0.95,100000.0,30155.404943953683,0.4,0.0,1,Risk of Crack
16049,1,0,0,30,0.9,0.15,0.95,100000.0,30181.69029464853,0.4,0.0,1,Risk of Crack
16050,1,0,0,30,0.925,0.05,0.95,100000.0,30190.8999947312,0.4,0.0,1,Risk of Crack
16051,1,0,0,30,0.925,0.06,0.95,100000.0,30195.346316298055,0.4,0.0,1,Risk of Crack
16052,1,0,0,30,0.925,0.07,0.95,100000.0,30179.462051830105,0.4,0.0,1,Risk of Crack
16053,1,0,0,30,0.925,0.08,0.95,100000.0,30191.38902111493,0.4,0.0,1,Risk of Crack
16054,1,0,0,30,0.925,0.09,0.95,100000.0,30177.65674389122,0.4,0.0,1,Risk of Crack
16055,1,0,0,30,0.925,0.1,0.95,100000.0,30184.3924390919,0.4,0.0,1,Risk of Crack
16056,1,0,0,30,0.925,0.11,0.95,100000.0,30157.327910293745,0.4,0.0,1,Risk of Crack
16057,1,0,0,30,0.925,0.12,0.95,100000.0,30167.042180872122,0.4,0.0,1,Risk of Crack
16058,1,0,0,30,0.925,0.13,0.95,100000.0,30172.404227785166,0.4,0.0,1,Risk of Crack
16059,1,0,0,30,0.925,0.14,0.95,100000.0,30176.683247599234,0.4,0.0,1,Risk of Crack
16060,1,0,0,30,0.925,0.15,0.95,100000.0,30146.63375309344,0.4,0.0,1,Risk of Crack
16061,1,0,0,30,0.95,0.05,0.95,100000.0,30172.971849354286,0.4,0.0,1,Risk of Crack
16062,1,0,0,30,0.95,0.06,0.95,100000.0,30184.49475066615,0.4,0.0,1,Risk of Crack
16063,1,0,0,30,0.95,0.07,0.95,100000.0,30185.89236763825,0.4,0.0,1,Risk of Crack
16064,1,0,0,30,0.95,0.08,0.95,100000.0,30178.87472162354,0.4,0.0,1,Risk of Crack
16065,1,0,0,30,0.95,0.09,0.95,100000.0,30175.911143667112,0.4,0.0,1,Risk of Crack
16066,1,0,0,30,0.95,0.1,0.95,100000.0,30160.768994075497,0.4,0.0,1,Risk of Crack
16067,1,0,0,30,0.95,0.11,0.95,100000.0,30193.97644907643,0.4,0.0,1,Risk of Crack
16068,1,0,0,30,0.95,0.12,0.95,100000.0,30171.607488965292,0.4,0.0,1,Risk of Crack
16069,1,0,0,30,0.95,0.13,0.95,100000.0,30178.79621410682,0.4,0.0,1,Risk of Crack
16070,1,0,0,30,0.95,0.14,0.95,100000.0,30174.57535645798,0.4,0.0,1,Risk of Crack
16071,1,0,0,30,0.95,0.15,0.95,100000.0,30175.49515721523,0.4,0.0,1,Risk of Crack
16072,1,0,0,30,0.975,0.05,0.95,100000.0,30181.97664370674,0.4,0.0,1,Risk of Crack
16073,1,0,0,30,0.975,0.06,0.95,100000.0,30198.73289129573,0.4,0.0,1,Risk of Crack
16074,1,0,0,30,0.975,0.07,0.95,100000.0,30175.458042404873,0.4,0.0,1,Risk of Crack
16075,1,0,0,30,0.975,0.08,0.95,100000.0,30198.15550215876,0.4,0.0,1,Risk of Crack
16076,1,0,0,30,0.975,0.09,0.95,100000.0,30175.7715011813,0.4,0.0,1,Risk of Crack
16077,1,0,0,30,0.975,0.1,0.95,100000.0,30174.701024784266,0.4,0.0,1,Risk of Crack
16078,1,0,0,30,0.975,0.11,0.95,100000.0,30181.98577212635,0.4,0.0,1,Risk of Crack
16079,1,0,0,30,0.975,0.12,0.95,100000.0,30167.019242506594,0.4,0.0,1,Risk of Crack
16080,1,0,0,30,0.975,0.13,0.95,100000.0,30162.84297773894,0.4,0.0,1,Risk of Crack
16081,1,0,0,30,0.975,0.14,0.95,100000.0,30170.494868647587,0.4,0.0,1,Risk of Crack
16082,1,0,0,30,0.975,0.15,0.95,100000.0,30180.5345020054,0.4,0.0,1,Risk of Crack
16083,1,0,0,30,1.0,0.05,0.95,100000.0,30165.359328827024,0.4,0.0,1,Risk of Crack
16084,1,0,0,30,1.0,0.06,0.95,100000.0,30189.769745394253,0.4,0.0,1,Risk of Crack
16085,1,0,0,30,1.0,0.07,0.95,100000.0,30202.565183194583,0.4,0.0,1,Risk of Crack
16086,1,0,0,30,1.0,0.08,0.95,100000.0,30186.591317515893,0.4,0.0,1,Risk of Crack
16087,1,0,0,30,1.0,0.09,0.95,100000.0,30179.717004323436,0.4,0.0,1,Risk of Crack
16088,1,0,0,30,1.0,0.1,0.95,100000.0,30198.283981635886,0.4,0.0,1,Risk of Crack
16089,1,0,0,30,1.0,0.11,0.95,100000.0,30179.835954446684,0.4,0.0,1,Risk of Crack
16090,1,0,0,30,1.0,0.12,0.95,100000.0,30165.399677853653,0.4,0.0,1,Risk of Crack
16091,1,0,0,30,1.0,0.13,0.95,100000.0,30192.133362825665,0.4,0.0,1,Risk of Crack
16092,1,0,0,30,1.0,0.14,0.95,100000.0,30203.200990771307,0.4,0.0,1,Risk of Crack
16093,1,0,0,30,1.0,0.15,0.95,100000.0,30205.970828356338,0.4,0.0,1,Risk of Crack
16094,1,0,0,30,1.025,0.05,0.95,100000.0,30193.067554151974,0.4,0.0,1,Risk of Crack
16095,1,0,0,30,1.025,0.06,0.95,100000.0,30183.654040075704,0.4,0.0,1,Risk of Crack
16096,1,0,0,30,1.025,0.07,0.95,100000.0,30191.287279953707,0.4,0.0,1,Risk of Crack
16097,1,0,0,30,1.025,0.08,0.95,100000.0,30194.480463050553,0.4,0.0,1,Risk of Crack
16098,1,0,0,30,1.025,0.09,0.95,100000.0,30197.075668040652,0.4,0.0,1,Risk of Crack
16099,1,0,0,30,1.025,0.1,0.95,100000.0,30185.818144441233,0.4,0.0,1,Risk of Crack
16100,1,0,0,30,1.025,0.11,0.95,100000.0,30172.541338024253,0.4,0.0,1,Risk of Crack
16101,1,0,0,30,1.025,0.12,0.95,100000.0,30185.763134271583,0.4,0.0,1,Risk of Crack
16102,1,0,0,30,1.025,0.13,0.95,100000.0,30183.221409252787,0.4,0.0,1,Risk of Crack
16103,1,0,0,30,1.025,0.14,0.95,100000.0,30177.960601127426,0.4,0.0,1,Risk of Crack
16104,1,0,0,30,1.025,0.15,0.95,100000.0,30173.95717955078,0.4,0.0,1,Risk of Crack
16105,1,0,0,30,1.05,0.05,0.95,100000.0,30189.339299178548,0.4,0.0,1,Risk of Crack
16106,1,0,0,30,1.05,0.06,0.95,100000.0,30185.614305573825,0.4,0.0,1,Risk of Crack
16107,1,0,0,30,1.05,0.07,0.95,100000.0,30203.07145061543,0.4,0.0,1,Risk of Crack
16108,1,0,0,30,1.05,0.08,0.95,100000.0,30175.155543433524,0.4,0.0,1,Risk of Crack
16109,1,0,0,30,1.05,0.09,0.95,100000.0,30197.20609811782,0.4,0.0,1,Risk of Crack
16110,1,0,0,30,1.05,0.1,0.95,100000.0,30192.191269061288,0.4,0.0,1,Risk of Crack
16111,1,0,0,30,1.05,0.11,0.95,100000.0,30199.07469523482,0.4,0.0,1,Risk of Crack
16112,1,0,0,30,1.05,0.12,0.95,100000.0,30181.568780547965,0.4,0.0,1,Risk of Crack
16113,1,0,0,30,1.05,0.13,0.95,100000.0,30201.148489248124,0.4,0.0,1,Risk of Crack
16114,1,0,0,30,1.05,0.14,0.95,100000.0,30198.101814324607,0.4,0.0,1,Risk of Crack
16115,1,0,0,30,1.05,0.15,0.95,100000.0,30188.983961576614,0.4,0.0,1,Risk of Crack
16116,1,0,0,30,1.075,0.05,0.95,100000.0,30180.224421984967,0.4,0.0,2,Crack
16117,1,0,0,30,1.075,0.06,0.95,100000.0,30202.268880142663,0.4,0.0,2,Crack
16118,1,0,0,30,1.075,0.07,0.95,100000.0,30191.181466955113,0.4,0.0,2,Crack
16119,1,0,0,30,1.075,0.08,0.95,100000.0,30190.147809750324,0.4,0.0,2,Crack
16120,1,0,0,30,1.075,0.09,0.95,100000.0,30180.51693378841,0.4,0.0,2,Crack
16121,1,0,0,30,1.075,0.1,0.95,100000.0,30194.873914218526,0.4,0.0,2,Crack
16122,1,0,0,30,1.075,0.11,0.95,100000.0,30191.159945078045,0.4,0.0,2,Crack
16123,1,0,0,30,1.075,0.12,0.95,100000.0,30210.31038811352,0.4,0.0,2,Crack
16124,1,0,0,30,1.075,0.13,0.95,100000.0,30195.211300662864,0.4,0.0,2,Crack
16125,1,0,0,30,1.075,0.14,0.95,100000.0,30205.8181499993,0.4,0.0,2,Crack
16126,1,0,0,30,1.075,0.15,0.95,100000.0,30177.84225836066,0.4,0.0,2,Crack
16127,1,0,0,30,1.1,0.05,0.95,100000.0,30202.032825223472,0.4,0.0,2,Crack
16128,1,0,0,30,1.1,0.06,0.95,100000.0,30175.89001001294,0.4,0.0,2,Crack
16129,1,0,0,30,1.1,0.07,0.95,100000.0,30188.6736431054,0.4,0.0,2,Crack
16130,1,0,0,30,1.1,0.08,0.95,100000.0,30177.625357649413,0.4,0.0,2,Crack
16131,1,0,0,30,1.1,0.09,0.95,100000.0,30197.97337977979,0.4,0.0,2,Crack
16132,1,0,0,30,1.1,0.1,0.95,100000.0,30191.392136953407,0.4,0.0,2,Crack
16133,1,0,0,30,1.1,0.11,0.95,100000.0,30177.20502438202,0.4,0.0,2,Crack
16134,1,0,0,30,1.1,0.12,0.95,100000.0,30181.952136245058,0.4,0.0,2,Crack
16135,1,0,0,30,1.1,0.13,0.95,100000.0,30199.54165500147,0.4,0.0,2,Crack
16136,1,0,0,30,1.1,0.14,0.95,100000.0,30199.126656563196,0.4,0.0,2,Crack
16137,1,0,0,30,1.1,0.15,0.95,100000.0,30183.722261827268,0.4,0.0,2,Crack
16138,1,0,0,30,0.9,0.05,0.96,100000.0,30158.79025874886,0.4,0.0,1,Risk of Crack
16139,1,0,0,30,0.9,0.06,0.96,100000.0,30180.716460643456,0.4,0.0,1,Risk of Crack
16140,1,0,0,30,0.9,0.07,0.96,100000.0,30176.408901158004,0.4,0.0,1,Risk of Crack
16141,1,0,0,30,0.9,0.08,0.96,100000.0,30169.982214473803,0.4,0.0,1,Risk of Crack
16142,1,0,0,30,0.9,0.09,0.96,100000.0,30195.480225669122,0.4,0.0,1,Risk of Crack
16143,1,0,0,30,0.9,0.1,0.96,100000.0,30164.59966074124,0.4,0.0,1,Risk of Crack
16144,1,0,0,30,0.9,0.11,0.96,100000.0,30174.48644344783,0.4,0.0,1,Risk of Crack
16145,1,0,0,30,0.9,0.12,0.96,100000.0,30178.032760893177,0.4,0.0,1,Risk of Crack
16146,1,0,0,30,0.9,0.13,0.96,100000.0,30186.476041251433,0.4,0.0,1,Risk of Crack
16147,1,0,0,30,0.9,0.14,0.96,100000.0,30173.7589513976,0.4,0.0,1,Risk of Crack
16148,1,0,0,30,0.9,0.15,0.96,100000.0,30174.5443313944,0.4,0.0,1,Risk of Crack
16149,1,0,0,30,0.925,0.05,0.96,100000.0,30167.652409637867,0.4,0.0,1,Risk of Crack
16150,1,0,0,30,0.925,0.06,0.96,100000.0,30189.169313677565,0.4,0.0,1,Risk of Crack
16151,1,0,0,30,0.925,0.07,0.96,100000.0,30178.10519166237,0.4,0.0,1,Risk of Crack
16152,1,0,0,30,0.925,0.08,0.96,100000.0,30175.28680480722,0.4,0.0,1,Risk of Crack
16153,1,0,0,30,0.925,0.09,0.96,100000.0,30177.290566437405,0.4,0.0,1,Risk of Crack
16154,1,0,0,30,0.925,0.1,0.96,100000.0,30180.546387150072,0.4,0.0,1,Risk of Crack
16155,1,0,0,30,0.925,0.11,0.96,100000.0,30167.1712540606,0.4,0.0,1,Risk of Crack
16156,1,0,0,30,0.925,0.12,0.96,100000.0,30186.907503396138,0.4,0.0,1,Risk of Crack
16157,1,0,0,30,0.925,0.13,0.96,100000.0,30187.144930584018,0.4,0.0,1,Risk of Crack
16158,1,0,0,30,0.925,0.14,0.96,100000.0,30161.2176303712,0.4,0.0,1,Risk of Crack
16159,1,0,0,30,0.925,0.15,0.96,100000.0,30198.956588680274,0.4,0.0,1,Risk of Crack
16160,1,0,0,30,0.95,0.05,0.96,100000.0,30164.88946060914,0.4,0.0,1,Risk of Crack
16161,1,0,0,30,0.95,0.06,0.96,100000.0,30190.42608902365,0.4,0.0,1,Risk of Crack
16162,1,0,0,30,0.95,0.07,0.96,100000.0,30187.75099126463,0.4,0.0,1,Risk of Crack
16163,1,0,0,30,0.95,0.08,0.96,100000.0,30166.2173258878,0.4,0.0,1,Risk of Crack
16164,1,0,0,30,0.95,0.09,0.96,100000.0,30168.628141971705,0.4,0.0,1,Risk of Crack
16165,1,0,0,30,0.95,0.1,0.96,100000.0,30167.283598346767,0.4,0.0,1,Risk of Crack
16166,1,0,0,30,0.95,0.11,0.96,100000.0,30204.88891721779,0.4,0.0,1,Risk of Crack
16167,1,0,0,30,0.95,0.12,0.96,100000.0,30192.996604203036,0.4,0.0,1,Risk of Crack
16168,1,0,0,30,0.95,0.13,0.96,100000.0,30183.316360259436,0.4,0.0,1,Risk of Crack
16169,1,0,0,30,0.95,0.14,0.96,100000.0,30189.04526975737,0.4,0.0,1,Risk of Crack
16170,1,0,0,30,0.95,0.15,0.96,100000.0,30183.408308221937,0.4,0.0,1,Risk of Crack
16171,1,0,0,30,0.975,0.05,0.96,100000.0,30157.629512100568,0.4,0.0,1,Risk of Crack
16172,1,0,0,30,0.975,0.06,0.96,100000.0,30165.683419491543,0.4,0.0,1,Risk of Crack
16173,1,0,0,30,0.975,0.07,0.96,100000.0,30168.473860509843,0.4,0.0,1,Risk of Crack
16174,1,0,0,30,0.975,0.08,0.96,100000.0,30165.383167970598,0.4,0.0,1,Risk of Crack
16175,1,0,0,30,0.975,0.09,0.96,100000.0,30170.491131407303,0.4,0.0,1,Risk of Crack
16176,1,0,0,30,0.975,0.1,0.96,100000.0,30191.722547592843,0.4,0.0,1,Risk of Crack
16177,1,0,0,30,0.975,0.11,0.96,100000.0,30171.240300127974,0.4,0.0,1,Risk of Crack
16178,1,0,0,30,0.975,0.12,0.96,100000.0,30196.45855573531,0.4,0.0,1,Risk of Crack
16179,1,0,0,30,0.975,0.13,0.96,100000.0,30173.782526722967,0.4,0.0,1,Risk of Crack
16180,1,0,0,30,0.975,0.14,0.96,100000.0,30188.232618496742,0.4,0.0,1,Risk of Crack
16181,1,0,0,30,0.975,0.15,0.96,100000.0,30173.05459302729,0.4,0.0,1,Risk of Crack
16182,1,0,0,30,1.0,0.05,0.96,100000.0,30179.659121392335,0.4,0.0,1,Risk of Crack
16183,1,0,0,30,1.0,0.06,0.96,100000.0,30184.49642353247,0.4,0.0,1,Risk of Crack
16184,1,0,0,30,1.0,0.07,0.96,100000.0,30188.139697465427,0.4,0.0,1,Risk of Crack
16185,1,0,0,30,1.0,0.08,0.96,100000.0,30192.278780762255,0.4,0.0,1,Risk of Crack
16186,1,0,0,30,1.0,0.09,0.96,100000.0,30188.72387105412,0.4,0.0,1,Risk of Crack
16187,1,0,0,30,1.0,0.1,0.96,100000.0,30197.03486705556,0.4,0.0,1,Risk of Crack
16188,1,0,0,30,1.0,0.11,0.96,100000.0,30187.739749161985,0.4,0.0,1,Risk of Crack
16189,1,0,0,30,1.0,0.12,0.96,100000.0,30164.121385948674,0.4,0.0,1,Risk of Crack
16190,1,0,0,30,1.0,0.13,0.96,100000.0,30188.39389578423,0.4,0.0,1,Risk of Crack
16191,1,0,0,30,1.0,0.14,0.96,100000.0,30180.998567248655,0.4,0.0,1,Risk of Crack
16192,1,0,0,30,1.0,0.15,0.96,100000.0,30187.864769721444,0.4,0.0,1,Risk of Crack
16193,1,0,0,30,1.025,0.05,0.96,100000.0,30187.319735075173,0.4,0.0,1,Risk of Crack
16194,1,0,0,30,1.025,0.06,0.96,100000.0,30156.257587758973,0.4,0.0,1,Risk of Crack
16195,1,0,0,30,1.025,0.07,0.96,100000.0,30192.672016983426,0.4,0.0,1,Risk of Crack
16196,1,0,0,30,1.025,0.08,0.96,100000.0,30181.41547486964,0.4,0.0,1,Risk of Crack
16197,1,0,0,30,1.025,0.09,0.96,100000.0,30186.712010310726,0.4,0.0,1,Risk of Crack
16198,1,0,0,30,1.025,0.1,0.96,100000.0,30169.58879252877,0.4,0.0,1,Risk of Crack
16199,1,0,0,30,1.025,0.11,0.96,100000.0,30176.50411842571,0.4,0.0,1,Risk of Crack
16200,1,0,0,30,1.025,0.12,0.96,100000.0,30190.158409994838,0.4,0.0,1,Risk of Crack
16201,1,0,0,30,1.025,0.13,0.96,100000.0,30188.5215143323,0.4,0.0,1,Risk of Crack
16202,1,0,0,30,1.025,0.14,0.96,100000.0,30164.25284630206,0.4,0.0,1,Risk of Crack
16203,1,0,0,30,1.025,0.15,0.96,100000.0,30193.622155081168,0.4,0.0,1,Risk of Crack
16204,1,0,0,30,1.05,0.05,0.96,100000.0,30185.715787967416,0.4,0.0,1,Risk of Crack
16205,1,0,0,30,1.05,0.06,0.96,100000.0,30175.95756971204,0.4,0.0,1,Risk of Crack
16206,1,0,0,30,1.05,0.07,0.96,100000.0,30197.067316951292,0.4,0.0,1,Risk of Crack
16207,1,0,0,30,1.05,0.08,0.96,100000.0,30190.503524493357,0.4,0.0,1,Risk of Crack
16208,1,0,0,30,1.05,0.09,0.96,100000.0,30192.3969219781,0.4,0.0,1,Risk of Crack
16209,1,0,0,30,1.05,0.1,0.96,100000.0,30171.810781042168,0.4,0.0,1,Risk of Crack
