ID,GEO_R,GEO_V,GEO_X,RAD,MAT,FC,SHTK,BF
16039,1,0,0,30,0.9,0.05,0.95,100000.0
16040,1,0,0,30,0.9,0.06,0.95,100000.0
16041,1,0,0,30,0.9,0.07,0.95,100000.0
16042,1,0,0,30,0.9,0.08,0.95,100000.0
16043,1,0,0,30,0.9,0.09,0.95,100000.0
16044,1,0,0,30,0.9,0.1,0.95,100000.0
16045,1,0,0,30,0.9,0.11,0.95,100000.0
16046,1,0,0,30,0.9,0.12,0.95,100000.0
16047,1,0,0,30,0.9,0.13,0.95,100000.0
16048,1,0,0,30,0.9,0.14,0.95,100000.0
16049,1,0,0,30,0.9,0.15,0.95,100000.0
16050,1,0,0,30,0.925,0.05,0.95,100000.0
16051,1,0,0,30,0.925,0.06,0.95,100000.0
16052,1,0,0,30,0.925,0.07,0.95,100000.0
16053,1,0,0,30,0.925,0.08,0.95,100000.0
16054,1,0,0,30,0.925,0.09,0.95,100000.0
16055,1,0,0,30,0.925,0.1,0.95,100000.0
16056,1,0,0,30,0.925,0.11,0.95,100000.0
16057,1,0,0,30,0.925,0.12,0.95,100000.0
16058,1,0,0,30,0.925,0.13,0.95,100000.0
16059,1,0,0,30,0.925,0.14,0.95,100000.0
16060,1,0,0,30,0.925,0.15,0.95,100000.0
16061,1,0,0,30,0.95,0.05,0.95,100000.0
16062,1,0,0,30,0.95,0.06,0.95,100000.0
16063,1,0,0,30,0.95,0.07,0.95,100000.0
16064,1,0,0,30,0.95,0.08,0.95,100000.0
16065,1,0,0,30,0.95,0.09,0.95,100000.0
16066,1,0,0,30,0.95,0.1,0.95,100000.0
16067,1,0,0,30,0.95,0.11,0.95,100000.0
16068,1,0,0,30,0.95,0.12,0.95,100000.0
16069,1,0,0,30,0.95,0.13,0.95,100000.0
16070,1,0,0,30,0.95,0.14,0.95,100000.0
16071,1,0,0,30,0.95,0.15,0.95,100000.0
16072,1,0,0,30,0.975,0.05,0.95,100000.0
16073,1,0,0,30,0.975,0.06,0.95,100000.0
16074,1,0,0,30,0.975,0.07,0.95,100000.0
16075,1,0,0,30,0.975,0.08,0.95,100000.0
16076,1,0,0,30,0.975,0.09,0.95,100000.0
16077,1,0,0,30,0.975,0.1,0.95,100000.0
16078,1,0,0,30,0.975,0.11,0.95,100000.0
16079,1,0,0,30,0.975,0.12,0.95,100000.0
16080,1,0,0,30,0.975,0.13,0.95,100000.0
16081,1,0,0,30,0.975,0.14,0.95,100000.0
16082,1,0,0,30,0.975,0.15,0.95,100000.0
16083,1,0,0,30,1.0,0.05,0.95,100000.0
16084,1,0,0,30,1.0,0.06,0.95,100000.0
